,nodeID,tau_heu,tau_bench,effective_tau,nu_heu,nu_benchmark,effective_nu,seed_node
76,81,0.13076080863580855,0.02,6.538040431790427,0.99,0.02,49.5,0
77,82,0.12081048526636758,0.033666666666666664,3.588430255436661,1.0,0.06,16.666666666666668,0
78,83,0.14366869241869237,0.045,3.192637609304275,0.99,0.05,19.799999999999997,0
79,84,0.11941599087187316,0.018333333333333333,6.513599502102172,1.0,0.03,33.333333333333336,0
80,85,0.11941599087187316,0.018333333333333333,6.513599502102172,1.0,0.03,33.333333333333336,0
81,86,1.0,0.013333333333333332,75.0,1.0,0.02,50.0,1
82,87,0.2116551226551226,0.0,,1.0,0.0,,0
83,88,0.11941599087187316,0.018333333333333333,6.513599502102172,1.0,0.03,33.333333333333336,0
84,89,0.1694748584748584,0.035,4.842138813567383,1.0,0.04,25.0,0
85,90,0.20494227994227987,0.015,13.662818662818658,1.0,0.02,50.0,0
86,91,0.10990309690309683,0.028333333333333335,3.8789328318740055,0.99,0.04,24.75,0
87,92,0.11201839826839823,0.025,4.4807359307359285,0.99,0.03,33.0,0
88,93,0.14602851315351312,0.0225,6.490156140156139,1.0,0.04,25.0,0
89,94,0.14111527361527354,0.025,5.644610944610942,1.0,0.03,33.333333333333336,0
90,95,0.13045492007992004,0.02,6.522746003996002,0.86,0.02,43.0,0
91,96,0.3052017745326569,0.025,12.208070981306275,0.98,0.04,24.5,0
92,98,0.16380283605283597,0.01,16.380283605283598,0.99,0.01,99.0,0
93,99,0.1867352092352091,0.02,9.336760461760454,1.0,0.02,50.0,0
94,100,0.11343403818403817,0.015,7.562269212269212,0.97,0.02,48.5,0
95,101,0.1107618908868908,0.013333333333333332,8.307141816516811,0.98,0.02,49.0,0
96,102,0.1626483516483516,0.03,5.42161172161172,0.96,0.03,32.0,0
97,103,0.1923387445887445,0.01,19.23387445887445,0.99,0.01,99.0,0
98,104,0.13523330835830824,0.025,5.409332334332329,1.0,0.03,33.333333333333336,0
99,105,0.12708136308136309,0.045,2.8240302906969577,0.98,0.05,19.599999999999998,0
100,106,0.2078501498501498,0.03,6.928338328338326,0.99,0.03,33.0,0
101,107,0.09393742776831009,0.035,2.683926507666002,0.9,0.04,22.5,0
102,108,0.09919030969030967,0.0275,3.6069203523748974,0.9,0.04,22.5,0
103,109,0.21825865800865793,0.01,21.82586580086579,1.0,0.01,100.0,0
104,110,0.15192922355422347,0.03333333333333333,4.557876706626704,1.0,0.04,25.0,0
105,111,0.14035758685758673,0.06,2.3392931142931124,0.99,0.06,16.5,0
106,112,0.10871541367129596,0.04,2.717885341782399,0.86,0.05,17.2,0
107,113,0.20667868242868237,0.055,3.7577942259760433,1.0,0.06,16.666666666666668,0
108,114,0.10871541367129596,0.03,3.623847122376532,0.86,0.04,21.5,0
109,115,0.11456203518703516,0.015,7.637469012469011,0.9,0.02,45.0,0
110,116,0.11050979575979569,0.035,3.1574227359941625,0.94,0.05,18.799999999999997,0
111,117,0.10871541367129596,0.075,1.449538848950613,0.86,0.08,10.75,0
112,118,0.10871541367129596,0.03,3.623847122376532,0.86,0.04,21.5,0
113,119,0.10871541367129596,0.02,5.435770683564798,0.86,0.03,28.666666666666668,0
114,120,0.1822853951603951,0.035,5.20815414743986,0.98,0.04,24.5,0
115,121,0.1019007104007103,0.015,6.793380693380687,0.95,0.02,47.5,0
116,122,1.0,0.005,200.0,1.0,0.01,100.0,1
117,123,0.10871541367129596,0.045,2.4158980815843547,0.86,0.05,17.2,0
118,124,0.08494329281829273,0.02,4.247164640914637,0.86,0.02,43.0,0
119,125,0.15973962148962143,0.025,6.389584859584857,1.0,0.03,33.333333333333336,0
120,126,0.18192687867687862,0.045,4.042819526152859,0.99,0.05,19.799999999999997,0
121,127,0.22005927405927397,0.065,3.3855272932195994,1.0,0.07,14.285714285714285,0
122,128,0.1953211788211787,0.01,19.53211788211787,0.99,0.01,99.0,0
123,129,0.11193292818292817,0.035,3.1980836623693762,0.98,0.04,24.5,0
124,130,0.19085520035520032,0.03333333333333333,5.725656010656009,0.97,0.05,19.4,0
125,132,0.1901498223998224,0.0,,0.98,0.0,,0
126,133,0.11072646797646792,0.005,22.145293595293584,0.98,0.01,98.0,0
127,134,0.10760203685203681,0.03,3.5867345617345605,0.92,0.03,30.666666666666668,0
128,135,0.11728396603396594,0.03,3.909465534465532,0.95,0.04,23.75,0
129,136,0.193833805083805,0.03,6.461126836126833,0.99,0.03,33.0,0
130,137,0.09782484182484179,0.02,4.8912420912420895,0.92,0.02,46.0,0
131,138,0.14161111111111097,0.035,4.046031746031741,1.0,0.04,25.0,0
132,139,0.16867624042624033,0.02,8.433812021312017,1.0,0.02,50.0,0
133,140,0.11319691419691413,0.027000000000000003,4.192478303589412,0.99,0.04,24.75,0
134,141,0.09782484182484179,0.04,2.4456210456210448,0.92,0.04,23.0,0
135,142,0.1314734570984571,0.07,1.8781922442636725,1.0,0.08,12.5,0
136,143,0.16185003885003874,0.01,16.185003885003873,1.0,0.01,100.0,0
137,144,0.11241061716061712,0.0,,0.92,0.0,,0
138,145,0.14364801864801854,0.015,9.57653457653457,0.99,0.02,49.5,0
139,146,0.17284246309246304,0.0395,4.375758559302862,0.99,0.06,16.5,0
140,147,0.2212074314574313,0.020833333333333336,10.617956709956701,0.99,0.04,24.75,0
141,149,0.1204004051504051,0.04,3.0100101287601273,0.99,0.06,16.5,0
142,150,0.1856144688644688,0.02,9.28072344322344,0.98,0.02,49.0,0
143,151,0.14194913419913416,0.017,8.349949070537303,0.99,0.03,33.0,0
144,152,0.13728912753912748,0.02,6.864456376956373,0.97,0.02,48.5,0
145,153,0.1537153402153402,0.005,30.74306804306804,0.95,0.01,95.0,0
146,154,0.1667035742035741,0.02,8.335178710178704,1.0,0.02,50.0,0
147,155,0.18493362193362187,0.01,18.493362193362188,0.96,0.02,48.0,0
148,156,0.12786530136530128,0.02,6.393265068265063,0.99,0.03,33.0,0
149,157,0.16638850038850034,0.03,5.546283346283345,1.0,0.03,33.333333333333336,0
150,158,0.1481626429126429,0.04,3.7040660728160724,0.99,0.05,19.799999999999997,0
151,159,0.12480919080919078,0.02333333333333333,5.348965320393892,0.95,0.03,31.666666666666668,0
152,160,0.12480919080919078,0.003333333333333333,37.44275724275724,0.95,0.01,95.0,0
153,161,0.14987889887889877,0.03,4.995963295963293,1.0,0.03,33.333333333333336,0
154,162,0.11383072483072473,0.013333333333333332,8.537304362304356,0.98,0.02,49.0,0
155,163,0.1794860417360417,0.04,4.487151043401043,0.98,0.04,24.5,0
156,164,0.1273875568875568,0.025,5.095502275502271,1.0,0.03,33.333333333333336,0
157,165,0.11298500519088747,0.01,11.298500519088748,0.97,0.01,97.0,0
158,166,0.19194191919191916,0.03833333333333333,5.0071805006587615,1.0,0.05,20.0,0
159,167,0.1529256576756576,0.01,15.29256576756576,1.0,0.02,50.0,0
160,168,0.17406343656343648,0.015,11.604229104229098,0.99,0.02,49.5,0
161,169,0.1999799922299922,0.03333333333333333,5.999399766899765,0.99,0.05,19.799999999999997,0
162,171,0.16366677766677756,0.01,16.366677766677757,0.98,0.01,98.0,0
163,172,0.24335714285714283,0.02,12.167857142857141,1.0,0.02,50.0,0
164,173,1.0,0.0,,1.0,0.0,,1
165,174,0.1088685619935619,0.008333333333333333,13.064227439227428,0.96,0.02,48.0,0
166,175,0.1276847498906322,0.015,8.51231665937548,0.96,0.02,48.0,0
167,176,0.13583560883560872,0.01,13.583560883560871,1.0,0.01,100.0,0
168,177,0.13121681096681084,0.02,6.560840548340542,0.99,0.02,49.5,0
169,178,0.17315137640137632,0.065,2.6638673292519433,0.98,0.07,13.999999999999998,0
170,179,0.1550310245310244,0.0075,20.670803270803255,1.0,0.02,50.0,0
171,180,0.17300119325119315,0.02,8.650059662559658,0.99,0.02,49.5,0
172,181,0.12792193917193914,0.03583333333333333,3.569914581542488,0.98,0.05,19.599999999999998,0
173,182,0.18530339105339103,0.015,12.353559403559402,1.0,0.02,50.0,0
174,183,0.1288024198024198,0.03,4.293413993413994,0.99,0.03,33.0,0
175,185,0.21707850482850485,0.02,10.853925241425243,0.99,0.02,49.5,0
176,187,0.18636013986013972,0.013333333333333332,13.97701048951048,0.99,0.02,49.5,0
177,188,0.22347630147630138,0.035,6.385037185037182,1.0,0.04,25.0,0
178,189,0.12352411477411472,0.04333333333333334,2.8505564947872624,0.94,0.07,13.428571428571427,0
179,190,0.11216333666333661,0.045,2.4925185925185915,0.96,0.07,13.714285714285712,0
180,191,0.14200191475191462,0.0,,0.99,0.0,,0
181,192,0.14865109890109882,0.03,4.955036630036627,0.98,0.04,24.5,0
182,193,0.21418734043734033,0.01,21.418734043734034,1.0,0.01,100.0,0
183,194,0.14162352924852917,0.025,5.664941169941167,0.99,0.03,33.0,0
184,195,0.12352411477411472,0.07333333333333333,1.6844197469197462,0.94,0.1,9.399999999999999,0
185,196,0.12352411477411472,0.028333333333333332,4.3596746390864025,0.94,0.05,18.799999999999997,0
186,197,0.14382034632034624,0.015,9.588023088023084,0.98,0.02,49.0,0
187,198,0.12352411477411472,0.07333333333333333,1.6844197469197462,0.94,0.1,9.399999999999999,0
188,199,0.14568900543900526,0.015,9.712600362600352,1.0,0.02,50.0,0
189,200,0.12352411477411472,0.03333333333333333,3.705723443223442,0.94,0.06,15.666666666666666,0
190,201,0.12671103896103886,0.023333333333333334,5.4304730983302365,0.98,0.03,32.666666666666664,0
191,202,0.16017705905205903,0.015,10.678470603470602,0.96,0.02,48.0,0
192,203,0.2250519480519479,0.05,4.501038961038957,0.98,0.05,19.599999999999998,0
193,204,0.23352380952380947,0.015,15.568253968253964,1.0,0.02,50.0,0
194,205,0.1744896214896215,0.01,17.44896214896215,1.0,0.01,100.0,0
195,206,0.12352411477411472,0.04833333333333333,2.5556713401540976,0.94,0.07,13.428571428571427,0
196,207,0.12352411477411472,0.03333333333333333,3.705723443223442,0.94,0.06,15.666666666666666,0
197,208,0.16567385392385378,0.01,16.56738539238538,0.98,0.01,98.0,0
198,209,0.13884859584859574,0.035,3.9671027385313065,1.0,0.04,25.0,0
199,210,0.12352411477411472,0.03333333333333333,3.705723443223442,0.94,0.06,15.666666666666666,0
200,211,0.27987373737373733,0.01,27.987373737373733,0.96,0.01,96.0,0
201,212,0.5,0.07,7.142857142857142,1.0,0.08,12.5,0
202,213,0.17715945165945152,0.02333333333333333,7.592547928262209,0.96,0.05,19.2,0
203,214,0.14858513708513701,0.045,3.301891935225267,0.94,0.05,18.799999999999997,0
204,215,0.15533452658452648,0.003333333333333333,46.60035797535795,0.99,0.01,99.0,0
205,216,0.18968867243867232,0.0,,1.0,0.0,,0
206,217,0.12627650127650122,0.005,25.255300255300245,0.99,0.01,99.0,0
207,218,0.10484534909534901,0.023333333333333334,4.493372104086386,0.95,0.04,23.75,0
208,219,0.15252331002330993,0.01,15.252331002330992,0.99,0.01,99.0,0
209,221,0.13101728826728823,0.04,3.2754322066822055,0.99,0.04,24.75,0
210,222,0.3259018759018759,0.01,32.59018759018759,1.0,0.01,100.0,0
211,223,0.14140570540570538,0.003333333333333333,42.421711621711616,0.99,0.01,99.0,0
212,224,0.19237060162060157,0.04,4.809265040515039,1.0,0.04,25.0,0
213,225,0.5,0.035,14.285714285714285,1.0,0.06,16.666666666666668,0
214,226,0.16883055833055824,0.05,3.3766111666111644,0.99,0.05,19.799999999999997,0
215,227,0.1997516650016649,0.02,9.987583250083246,1.0,0.03,33.333333333333336,0
216,228,0.18638886113886102,0.015,12.425924075924069,1.0,0.02,50.0,0
217,230,0.21891021478521466,0.025,8.756408591408587,0.96,0.03,32.0,0
218,231,0.15184509934509927,0.032,4.745159354534352,0.98,0.04,24.5,0
219,232,0.15367901542901535,0.03333333333333333,4.610370462870461,0.98,0.04,24.5,0
220,233,0.5,0.035,14.285714285714285,1.0,0.06,16.666666666666668,0
221,234,0.5,0.045,11.11111111111111,1.0,0.07,14.285714285714285,0
222,235,0.31859546009546,0.04083333333333334,7.802337798256163,0.99,0.07,14.14285714285714,0
223,236,0.16342615717615716,0.0375,4.358030858030858,0.99,0.05,19.799999999999997,0
224,237,0.19348593073593065,0.03333333333333333,5.80457792207792,1.0,0.04,25.0,0
225,238,0.27120722333222325,0.02,13.560361166611163,0.98,0.03,32.666666666666664,0
226,239,0.5,0.055,9.090909090909092,1.0,0.08,12.5,0
227,240,0.28559668109668096,0.03,9.519889369889366,1.0,0.04,25.0,0
228,241,0.11889932289932284,0.02416666666666667,4.919971982040945,0.98,0.04,24.5,0
229,242,0.5,0.03,16.666666666666668,1.0,0.05,20.0,0
230,243,0.14538835184423415,0.03,4.846278394807805,0.99,0.03,33.0,0
231,244,0.22518697968697957,0.02,11.259348984348978,0.99,0.02,49.5,0
232,245,0.21512828837828832,0.01,21.51282883782883,0.99,0.02,49.5,0
233,246,0.18159541847041843,0.03333333333333333,5.447862554112553,0.98,0.04,24.5,0
234,247,0.14316133866133865,0.06333333333333332,2.260442189389558,0.98,0.07,13.999999999999998,0
235,248,0.5,0.06,8.333333333333334,1.0,0.08,12.5,0
236,249,0.1972013819513819,0.005,39.44027639027638,1.0,0.01,100.0,0
237,250,0.15570704295704285,0.02,7.785352147852143,1.0,0.02,50.0,0
238,251,0.1507017329076152,0.08333333333333331,1.8084207948913829,0.99,0.1,9.899999999999999,0
239,252,0.1316024988083811,0.0175,7.520142789050348,1.0,0.03,33.333333333333336,0
240,253,0.10446842046842038,0.035,2.984812013383439,0.98,0.05,19.599999999999998,0
241,254,0.12057198357198347,0.04,3.0142995892995867,0.99,0.04,24.75,0
242,255,0.16177994227994222,0.0,,0.99,0.0,,0
243,256,0.12328109798698023,0.035,3.522317085342292,0.99,0.04,24.75,0
244,257,0.11943911643911634,0.03,3.981303881303878,0.98,0.03,32.666666666666664,0
245,258,0.15213630813630807,0.07,2.1733758305186868,0.99,0.07,14.14285714285714,0
246,259,0.1554753302253301,0.05833333333333333,2.6652913752913734,0.98,0.07,13.999999999999998,0
247,260,0.2146443001443,0.02,10.732215007215,0.98,0.03,32.666666666666664,0
248,261,0.14560321622821618,0.005,29.120643245643233,1.0,0.01,100.0,0
249,263,0.15602557573145798,0.015,10.401705048763866,1.0,0.02,50.0,0
250,264,0.12044683094683087,0.030833333333333334,3.906383706383704,0.99,0.05,19.799999999999997,0
251,265,0.17176273726273716,0.005,34.352547452547434,0.99,0.01,99.0,0
252,266,0.14153823953823944,0.025,5.661529581529577,1.0,0.03,33.333333333333336,0
253,267,0.12044683094683087,0.020833333333333336,5.781447885447881,0.99,0.04,24.75,0
254,268,0.13647027972027956,0.03583333333333333,3.808472922426407,0.99,0.07,14.14285714285714,0
255,269,0.15938550338550325,0.02,7.969275169275162,1.0,0.02,50.0,0
256,270,0.1608629148629147,0.05333333333333334,3.0161796536796506,1.0,0.07,14.285714285714285,0
257,271,0.14186613386613375,0.018333333333333333,7.738152756334569,0.99,0.03,33.0,0
258,273,0.13500820013320006,0.013333333333333332,10.125615009990005,1.0,0.02,50.0,0
259,274,0.14235975135975126,0.013333333333333332,10.676981351981345,1.0,0.02,50.0,0
260,275,0.1982574370074369,0.01,19.82574370074369,1.0,0.01,100.0,0
261,276,0.13609102009102,0.015,9.072734672734667,0.99,0.02,49.5,0
262,277,0.10975406537906536,0.0275,3.991056922875104,0.99,0.05,19.799999999999997,0
263,280,0.17040065490065484,0.04,4.260016372516371,1.0,0.04,25.0,0
264,282,0.14697735597735595,0.01,14.697735597735594,0.96,0.02,48.0,0
265,283,0.1382239704739704,0.03333333333333333,4.1467191142191115,0.92,0.04,23.0,0
266,284,0.11033097458097449,0.04,2.7582743645243624,0.99,0.04,24.75,0
267,285,0.2698575036075035,0.03,8.995250120250116,1.0,0.04,25.0,0
268,286,0.16422990897990888,0.003333333333333333,49.26897269397267,1.0,0.01,100.0,0
269,287,0.12033295870795874,0.018333333333333333,6.563615929525022,0.95,0.03,31.666666666666668,0
270,288,0.12033295870795874,0.018333333333333333,6.563615929525022,0.95,0.03,31.666666666666668,0
271,289,0.12033295870795874,0.018333333333333333,6.563615929525022,0.95,0.03,31.666666666666668,0
272,290,0.20899675324675318,0.04333333333333334,4.823001998001995,1.0,0.05,20.0,0
273,291,0.25839718614718593,0.03,8.613239538239531,0.98,0.03,32.666666666666664,0
274,292,0.12080175380175376,0.0225,5.3689668356335005,0.99,0.03,33.0,0
275,293,0.12840748140748132,0.011666666666666665,11.006355549212685,0.97,0.03,32.333333333333336,0
276,294,0.11743534243534243,0.028333333333333332,4.144776791835615,0.99,0.04,24.75,0
277,295,0.13363009213009205,0.025,5.345203685203682,0.98,0.03,32.666666666666664,0
278,296,0.1339684482184481,0.01,13.39684482184481,1.0,0.01,100.0,0
279,297,0.11743534243534243,0.04833333333333334,2.429696740041567,0.99,0.06,16.5,0
280,298,0.2339494949494949,0.005,46.78989898989898,0.99,0.01,99.0,0
281,299,0.140295288045288,0.015,9.353019203019201,0.99,0.02,49.5,0
282,300,0.120042402042402,0.015,8.002826802826801,0.99,0.02,49.5,0
283,301,0.17060037185037186,0.01,17.060037185037185,1.0,0.01,100.0,0
284,302,0.13729867354867353,0.0225,6.102163268829935,0.99,0.03,33.0,0
285,303,0.11336059773559767,0.03333333333333333,3.4008179320679304,0.99,0.05,19.799999999999997,0
286,304,0.1700168165168164,0.013333333333333332,12.75126123876123,1.0,0.02,50.0,0
287,305,0.16216280941280942,0.013333333333333332,12.162210705960707,1.0,0.02,50.0,0
288,306,1.0,0.0,,1.0,0.0,,1
289,307,0.10465782828282819,0.03,3.488594276094273,0.97,0.04,24.25,0
290,308,0.16675378787878775,0.015,11.116919191919184,1.0,0.02,50.0,0
291,309,0.15351881451881458,0.045,3.411529211529213,0.96,0.06,16.0,0
292,310,1.0,0.028333333333333332,35.294117647058826,1.0,0.04,25.0,1
293,311,1.0,0.04,25.0,1.0,0.04,25.0,1
294,312,1.0,0.045,22.22222222222222,1.0,0.05,20.0,1
295,313,0.21577067377067372,0.02,10.788533688533686,0.99,0.02,49.5,0
296,314,0.19796067821067814,0.013333333333333332,14.847050865800862,0.99,0.02,49.5,0
297,315,0.15040895215895206,0.025,6.016358086358082,0.98,0.03,32.666666666666664,0
298,316,0.15074911199911195,0.013333333333333332,11.306183399933397,0.95,0.03,31.666666666666668,0
299,317,0.1718946608946608,0.035,4.911276025561737,1.0,0.04,25.0,0
300,318,0.12623468198468196,0.01,12.623468198468196,0.98,0.01,98.0,0
301,319,1.0,0.01,100.0,1.0,0.01,100.0,1
302,320,0.12606213231213226,0.01,12.606213231213225,0.99,0.01,99.0,0
303,321,0.15686205461205452,0.03,5.228735153735151,0.99,0.03,33.0,0
304,322,0.19970032745032745,0.03,6.656677581677582,0.96,0.03,32.0,0
305,323,0.11279330799919032,0.028333333333333335,3.9809402823243643,0.99,0.05,19.799999999999997,0
306,324,0.17139837939837932,0.02,8.569918969918966,0.99,0.02,49.5,0
307,325,0.17080014430014429,0.025,6.832005772005771,0.98,0.03,32.666666666666664,0
308,326,0.1298895132645132,0.03,4.32965044215044,0.99,0.04,24.75,0
309,327,0.15161863136863127,0.05583333333333333,2.7155575767516047,0.98,0.07,13.999999999999998,0
310,328,0.14962709512709507,0.028333333333333332,5.280956298603356,1.0,0.04,25.0,0
311,329,0.11683248695748684,0.018333333333333333,6.372681106772009,1.0,0.03,33.333333333333336,0
312,330,0.11279330799919032,0.028333333333333335,3.9809402823243643,0.99,0.05,19.799999999999997,0
313,331,0.14645249195249188,0.05333333333333333,2.745984224109223,0.99,0.07,14.14285714285714,0
314,332,0.3074213564213563,0.01,30.742135642135633,1.0,0.01,100.0,0
315,333,0.11320096570096566,0.04333333333333333,2.6123299777145923,0.99,0.06,16.5,0
316,334,0.16361627261627248,0.04,4.090406815406812,0.99,0.05,19.799999999999997,0
317,335,0.19605952380952366,0.01,19.605952380952367,0.99,0.01,99.0,0
318,336,0.17963647463647456,0.04,4.490911865911864,1.0,0.04,25.0,0
319,337,0.10118266455766452,0.03666666666666667,2.759527215209032,0.95,0.06,15.833333333333334,0
320,338,0.19372341547341546,0.02,9.686170773670773,0.99,0.02,49.5,0
321,339,0.15690678765678762,0.03,5.230226255226254,1.0,0.03,33.333333333333336,0
322,340,0.14315440115440106,0.03,4.771813371813369,0.99,0.03,33.0,0
323,341,0.13727980352980343,0.013333333333333332,10.295985264735258,0.99,0.02,49.5,0
324,342,0.10342321567321562,0.03666666666666667,2.8206331547240624,0.95,0.06,15.833333333333334,0
325,343,0.11687738650238647,0.019761904761904762,5.914277389277387,0.98,0.04,24.5,0
326,344,0.10808172383172375,0.05666666666666667,1.9073245382068895,0.97,0.08,12.125,0
327,345,0.15802579773168007,0.045,3.511684394037335,0.97,0.05,19.4,0
328,346,0.2421197691197689,0.01,24.21197691197689,1.0,0.01,100.0,0
329,347,0.1779647574647574,0.002,88.98237873237869,0.98,0.01,98.0,0
330,348,0.1372781107781107,0.018333333333333333,7.487896951533311,0.99,0.03,33.0,0
331,349,0.14898937173937166,0.01,14.898937173937165,1.0,0.01,100.0,0
332,350,0.21152813852813845,0.025,8.461125541125538,0.99,0.03,33.0,0
333,351,0.2125762293262293,0.035,6.07360655217798,0.98,0.04,24.5,0
334,352,0.10819143356643351,0.04333333333333334,2.496725389994619,0.99,0.05,19.799999999999997,0
335,353,0.12341677766677757,0.035,3.526193647622216,0.99,0.04,24.75,0
336,355,0.12559983072483066,0.03142857142857143,3.996358250335521,0.99,0.05,19.799999999999997,0
337,356,0.1528616938616938,0.02166666666666667,7.055155101308943,0.99,0.03,33.0,0
338,357,0.1277413368794947,0.03,4.258044562649824,0.99,0.04,24.75,0
