dataset,heuristic,cascade_model,n_iters,fIA,n_seeds,mean,std,run_id,results_path
wiki,HD,threshold_norm,1000,0.01,71,0.5,0.25,000024,results\runs\000024\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.0,000025,results\runs\000025\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.05,000026,results\runs\000026\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.1,000027,results\runs\000027\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.15,000028,results\runs\000028\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.2,000029,results\runs\000029\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.5,0.25,000030,results\runs\000030\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.0,000031,results\runs\000031\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.05,000032,results\runs\000032\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.1,000033,results\runs\000033\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.15,000034,results\runs\000034\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.2,000035,results\runs\000035\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.5,0.25,000036,results\runs\000036\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.0,000037,results\runs\000037\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.05,000038,results\runs\000038\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.1,000039,results\runs\000039\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.15,000040,results\runs\000040\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.2,000041,results\runs\000041\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.6,0.25,000042,results\runs\000042\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.0,000043,results\runs\000043\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.05,000044,results\runs\000044\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.1,000045,results\runs\000045\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.15,000046,results\runs\000046\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.2,000047,results\runs\000047\results.pkl.gz
fb,HD,threshold_norm,1000,0.01,40,0.4,0.25,000048,results\runs\000048\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.0,000049,results\runs\000049\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.05,000050,results\runs\000050\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.1,000051,results\runs\000051\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.15,000052,results\runs\000052\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.2,000053,results\runs\000053\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.6,0.25,000054,results\runs\000054\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.0,000055,results\runs\000055\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.05,000056,results\runs\000056\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.1,000057,results\runs\000057\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.15,000058,results\runs\000058\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.2,000059,results\runs\000059\results.pkl.gz
fb,CHD,threshold_norm,1000,0.01,40,0.4,0.25,000060,results\runs\000060\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.0,000061,results\runs\000061\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.05,000062,results\runs\000062\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.1,000063,results\runs\000063\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.15,000064,results\runs\000064\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.2,000065,results\runs\000065\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.6,0.25,000066,results\runs\000066\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.0,000067,results\runs\000067\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.05,000068,results\runs\000068\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.1,000069,results\runs\000069\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.15,000070,results\runs\000070\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.2,000071,results\runs\000071\results.pkl.gz
fb,RND,threshold_norm,1000,0.01,40,0.4,0.25,000072,results\runs\000072\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.0,000073,results\runs\000073\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.05,000074,results\runs\000074\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.1,000075,results\runs\000075\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.15,000076,results\runs\000076\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.2,000077,results\runs\000077\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.6,0.25,000078,results\runs\000078\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.0,000079,results\runs\000079\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.05,000080,results\runs\000080\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.1,000081,results\runs\000081\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.15,000082,results\runs\000082\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.2,000083,results\runs\000083\results.pkl.gz
wiki,HD,threshold_norm,1000,0.01,71,0.4,0.25,000084,results\runs\000084\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.0,000085,results\runs\000085\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.05,000086,results\runs\000086\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.1,000087,results\runs\000087\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.15,000088,results\runs\000088\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.2,000089,results\runs\000089\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.6,0.25,000090,results\runs\000090\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.0,000091,results\runs\000091\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.05,000092,results\runs\000092\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.1,000093,results\runs\000093\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.15,000094,results\runs\000094\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.2,000095,results\runs\000095\results.pkl.gz
wiki,CHD,threshold_norm,1000,0.01,71,0.4,0.25,000096,results\runs\000096\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.0,000097,results\runs\000097\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.05,000098,results\runs\000098\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.1,000099,results\runs\000099\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.15,000100,results\runs\000100\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.2,000101,results\runs\000101\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.6,0.25,000102,results\runs\000102\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.0,000103,results\runs\000103\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.05,000104,results\runs\000104\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.1,000105,results\runs\000105\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.15,000106,results\runs\000106\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.2,000107,results\runs\000107\results.pkl.gz
wiki,RND,threshold_norm,1000,0.01,71,0.4,0.25,000108,results\runs\000108\results.pkl.gz
